index,date,time,price,volume
1593,2022-10-07,15:30:00,85.74,0.0
1594,2022-10-07,15:40:00,85.74,0.0
1595,2022-10-07,15:50:00,86.44,1.0
1596,2022-10-07,16:00:00,86.44,0.0
1662,2022-10-10,09:30:00,86.56,0.0
1663,2022-10-10,09:40:00,86.39,5.0
1664,2022-10-10,09:50:00,86.39,0.0
1665,2022-10-10,10:00:00,86.54,1.0
1666,2022-10-10,10:10:00,86.54,0.0
1667,2022-10-10,10:20:00,86.54,0.0
1668,2022-10-10,10:30:00,86.54,0.0
1669,2022-10-10,10:40:00,86.54,0.0
1670,2022-10-10,10:50:00,86.54,0.0
1671,2022-10-10,11:00:00,86.54,0.0
1672,2022-10-10,11:10:00,86.54,0.0
1673,2022-10-10,11:20:00,86.54,0.0
1674,2022-10-10,11:30:00,86.54,0.0
1675,2022-10-10,11:40:00,86.54,0.0
1676,2022-10-10,11:50:00,86.54,0.0
1677,2022-10-10,12:00:00,86.54,0.0
1678,2022-10-10,12:10:00,86.54,0.0
1679,2022-10-10,12:20:00,86.54,0.0
1680,2022-10-10,12:30:00,86.54,0.0
1681,2022-10-10,12:40:00,86.54,0.0
1682,2022-10-10,12:50:00,86.54,0.0
1683,2022-10-10,13:00:00,86.54,0.0
1684,2022-10-10,13:10:00,86.54,0.0
1685,2022-10-10,13:20:00,86.62,1.0
1686,2022-10-10,13:30:00,86.62,0.0
1687,2022-10-10,13:40:00,86.62,0.0
1688,2022-10-10,13:50:00,86.62,0.0
1689,2022-10-10,14:00:00,86.62,0.0
1690,2022-10-10,14:10:00,86.62,0.0
1691,2022-10-10,14:20:00,86.62,0.0
1692,2022-10-10,14:30:00,86.62,0.0
1693,2022-10-10,14:40:00,86.62,0.0
1694,2022-10-10,14:50:00,86.62,0.0
1695,2022-10-10,15:00:00,87.07,7.0
1696,2022-10-10,15:10:00,87.07,0.0
1697,2022-10-10,15:20:00,87.07,0.0
1698,2022-10-10,15:30:00,87.07,0.0
1699,2022-10-10,15:40:00,87.07,0.0
1700,2022-10-10,15:50:00,87.07,0.0
1701,2022-10-10,16:00:00,87.07,0.0
1774,2022-10-11,09:30:00,84.51,0.0
1775,2022-10-11,09:40:00,84.51,0.0
1776,2022-10-11,09:50:00,83.43,4.0
1777,2022-10-11,10:00:00,83.43,0.0
1778,2022-10-11,10:10:00,83.43,0.0
1779,2022-10-11,10:20:00,83.43,0.0
1780,2022-10-11,10:30:00,83.43,0.0
1781,2022-10-11,10:40:00,83.43,0.0
1782,2022-10-11,10:50:00,83.43,0.0
1783,2022-10-11,11:00:00,83.43,0.0
1784,2022-10-11,11:10:00,83.43,0.0
1785,2022-10-11,11:20:00,83.43,0.0
1786,2022-10-11,11:30:00,83.43,0.0
1787,2022-10-11,11:40:00,83.43,0.0
1788,2022-10-11,11:50:00,83.43,0.0
1789,2022-10-11,12:00:00,83.43,0.0
1790,2022-10-11,12:10:00,83.43,0.0
1791,2022-10-11,12:20:00,83.43,0.0
1792,2022-10-11,12:30:00,83.43,0.0
1793,2022-10-11,12:40:00,83.43,0.0
1794,2022-10-11,12:50:00,83.43,0.0
1795,2022-10-11,13:00:00,83.43,0.0
1796,2022-10-11,13:10:00,83.43,0.0
