nterm,date,time,price,volume,prev_day_volume,total_daily_volume_prev_day,yesterday_close,flat_delta_px_prev_bar,percent_delta_px_prev_bar,flat_delta_px_close,percent_delta_px_close
189,2022-09-06,14:20:00,84.79,74.0,30.0,573.0,84.47,0.3300000000000125,0.3907174994080186,0.3200000000000074,0.3788327216763436
190,2022-09-06,14:30:00,84.71,5.0,10.0,573.0,84.47,-0.0800000000000125,-0.0943507489090842,0.2399999999999948,0.284124541257245
191,2022-09-06,14:40:00,84.58,1.0,5.0,573.0,84.47,-0.1299999999999954,-0.1534647621296133,0.1099999999999994,0.1302237480762394
192,2022-09-06,14:50:00,84.81,1.0,3.0,573.0,84.47,0.2300000000000039,0.2719318987940459,0.3400000000000034,0.4025097667811097
193,2022-09-06,15:00:00,84.81,0.0,9.0,573.0,84.47,0.0,0.0,0.3400000000000034,0.4025097667811097
194,2022-09-06,15:10:00,84.81,0.0,3.0,573.0,84.47,0.0,0.0,0.3400000000000034,0.4025097667811097
195,2022-09-06,15:20:00,84.57,5.0,5.0,573.0,84.47,-0.2400000000000091,-0.2829854969932898,0.0999999999999943,0.1183852255238479
196,2022-09-06,15:30:00,84.57,0.0,3.0,573.0,84.47,0.0,0.0,0.0999999999999943,0.1183852255238479
197,2022-09-06,15:40:00,84.57,0.0,6.0,573.0,84.47,0.0,0.0,0.0999999999999943,0.1183852255238479
198,2022-09-06,15:50:00,84.61,1.0,1.0,573.0,84.47,0.0400000000000062,0.0472980962516332,0.1400000000000005,0.1657393157333971
199,2022-09-06,16:00:00,84.61,0.0,4.0,573.0,84.47,0.0,0.0,0.1400000000000005,0.1657393157333971
200,2022-09-07,09:30:00,81.6,187.0,46.0,653.0,84.61,-3.010000000000005,-3.5574991135799614,-3.010000000000005,-3.5574991135799614
201,2022-09-07,09:40:00,81.77,59.0,3.0,653.0,84.61,0.1700000000000017,0.2083333333333354,-2.8400000000000034,-3.3565772367332505
202,2022-09-07,09:50:00,81.67,16.0,106.0,653.0,84.61,-0.0999999999999943,-0.1222942399412918,-2.9399999999999977,-3.474766576054837
